rating,name,area,cuisine_type,price,cuisine_region,address
"                    3.4
                ",Pizza Bagus ,Ubud,Casual Dining,"                        Rp150.000 
                                    
        ",  Itali," Jl. Raya Pengosekan, Ubud, Bali"
"                    3.9
                ",Kebun Bistro ,Ubud,Casual Dining,"                        Rp250.000 
                                    
        ",  Mediterania," Jl. Hanoman, Ubud, Bali"
"                    3.4
                ",Cafe Moka ,Seminyak,Kafe,"                        Rp150.000 
                                    
        ","  Kafe, Toko Kue"," Jl. Raya Seminyak, Seminyak, Bali"
"                    -
                ",Dim Sum Inc ,Legian,Casual Dining,"                        Rp180.000 
                                    
        ","  Cina, Asia, Barat"," Jl. Dewi Sri No. 101, Legian, Bali"
"                    3.3
                ",Kedai Ceret ,Denpasar,Casual Dining,"                        Rp120.000 
                                    
        ","  Bali, Jawa"," Jl. Tukad Yeh Aya No. 119, Denpasar, Bali"
"                    3.4
                ",Bebek Tepi Sawah ,"Krisna Wisata Kuliner, Tuban",Casual Dining,"                        Rp400.000 
                                    
        ",  Bali," Krisna Wisata Kuliner, Jl. Raya Tuban, Tuban, Bali"
"                    3.6
                ",Taco Casa ,Seminyak,Quick Bites,"                        Rp200.000 
                                    
        ",  Meksiko," Jl. Petitenget, Seminyak, Bali"
"                    -
                ",Mangsi Coffee ,Denpasar,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Hayam Wuruk No. 195, Denpasar, Bali"
"                    -
                ",Waroeng Steak & Shake ,Denpasar,Casual Dining,"                        Rp80.000 
                                    
        ",  Steakhouse," Jl. Gatot Subroto, Denpasar, Bali"
"                    3.5
                ",Rondji Restaurant ,Ubud,Casual Dining,"                        Rp500.000 
                                    
        ","  Indonesia, Asia"," The Blanco Renaissance Museum, Jl. Campuhan, Ubud, Bali"
"                    3.5
                ",Warung Bunana ,Sanur,Quick Bites,"                        Rp100.000 
                                    
        ","  Malaysia, Timur Tengah, Asia"," Jl. By Pass Ngurah Rai, Sanur, Bali"
"                    -
                ",Marugame Udon ,"Mal Bali Galleria, Kuta",Quick Bites,"                        Rp150.000 
                                    
        ",  Jepang," Mal Bali Galleria, Lantai 2, Jl. By Pass Ngurah Rai..."
"                    3.5
                ",The Honeybees ,Seminyak,Casual Dining,"                        Rp150.000 
                                    
        ","  Itali, Barat, Indonesia"," Jl. Petitenget, Seminyak, Bali"
"                    -
                ",The Coffee Library ,Legian,Kafe,"                        Rp150.000 
                                    
        ",  Kafe," Jl. Padma No. 36, Legian, Bali"
"                    3.5
                ",Fat Chow ,Kuta,Casual Dining,"                        Rp250.000 
                                    
        ","  Cina, Jepang, Asia"," Jl. Popies 2 No. 7C, Kuta, Bali"
"                    3.4
                ",Cafe Dedapoer - The Oasis Lagoon Hotel ,Sanur,Quick Bites,"                        Rp500.000 
                                    
        ","  Hidangan Laut, Barat, Indonesia"," Lagoon Hotel, Jl. Danau Tamblingan No. 136A, Sanur, Bali"
"                    -
                ",Depot Gang Djangkrik ,Denpasar,Quick Bites,"                        Rp150.000 
                                    
        ",  Indonesia," Jl. Teuku Umar, Denpasar, Bali"
"                    -
                ",Rung Rheung Thai Food ,Uluwatu,Quick Bites,"                        Rp250.000 
                                    
        ",  Thai," Jl. Raya Uluwatu, Pecatu Km. 5, Uluwatu, Bali"
"                    -
                ",Alchemy ,Ubud,Quick Bites,"                        Rp250.000 
                                    
        ",  Makanan Sehat," Jl. Penestanan Kelod, Ubud, Bali"
"                    -
                ",Warung Pulau Kelapa ,Ubud,Casual Dining,"                        Rp180.000 
                                    
        ","  Jawa, Indonesia"," Jl. Sangginan, Ubud, Bali"
"                    -
                ",Ruth's ,Sanur,Bakery,"                        Rp150.000 
                                    
        ","  Kafe, Toko Kue"," Jl. By Pass Ngurah Rai, Sanur, Bali"
"                    3.4
                ",Grocer & Grind ,Jimbaran,Fine Dining,"                        Rp350.000 
                                    
        ",  Grill House," Jimbaran Corner, Jl. Raya Uluwatu, Jimbaran, Bali"
"                    4.1
                ",Monsieur Spoon ,Seminyak,Bakery,"                        Rp120.000 
                                    
        ","  Kafe, Toko Kue, Perancis"," Jl. Kayu Cendana, Seminyak, Bali"
"                    -
                ",Bumbak Coffee ,Kerobokan,Kafe,"                        Rp230.000 
                                    
        ",  Kafe," Jl. Bumbak No. 170, Kerobokan, Bali"
"                    3.5
                ",Kopi Kiosk ,Sanur,Quick Bites,"                        Rp80.000 
                                    
        ",  Kopi dan Teh," Jl. Danau Tamblingan No. 134/156, Sanur, Bali"
"                    -
                ",Bintang Ramen Factory & Cafe ,"Bintang Supermarket, Seminyak",Casual Dining,"                        Rp250.000 
                                    
        ",  Jepang," Bintang Supermarket, Jl. Raya Seminyak, Seminyak, Bali"
"                    3.5
                ",Indotopia ,Canggu,Casual Dining,"                        Rp150.000 
                                    
        ","  Vietnam, Indonesia"," Jl. Pantai Berawa, Canggu, Bali"
"                    3.9
                ",Teatro Gastroteque ,Seminyak,Fine Dining,"                        Rp2.500.000 
                                    
        ",  Barat," Jl. Kayu Aya, Seminyak, Bali"
"                    4.2
                ",Potato Head Beach Club ,Seminyak,Fine Dining,"                        Rp700.000 
                                    
        ","  Barat, Asia"," Jl. Petitenget, Seminyak, Bali"
"                    3.9
                ",La Plancha ,Seminyak,Quick Bites,"                        Rp250.000 
                                    
        ","  Kafe, Spanyol"," Pantai Seminyak, Jl. Pantai Camplung Tanduk, Seminyak..."
"                    4.1
                ",Rock Bar Bali - Ayana Resort and Spa ,"Ayana Resort and Spa, Jimbaran",,"                        Rp800.000 
                                    
        ","Masakan: Cemilan, Minuman"," Ayana Resort and Spa, Jl. Karang Mas Sejahtera..."
"                    3.9
                ",Ku De Ta ,Seminyak,Lounge,"                        Rp400.000 
                                    
        ",  Barat," Jl. Kayu Aya, Seminyak, Bali"
"                    4.2
                ",Gusto Gelato & Caffe ,Kerobokan,,"                        Rp150.000 
                                    
        ","Masakan: Kafe, Ice Cream, Desserts"," Jl. Mertanadi No. 46, Kerobokan, Bali"
"                    3.5
                ",Mexicola - Motel Mexicola ,Seminyak,Quick Bites,"                        Rp200.000 
                                    
        ","  Kafe, Meksiko"," Motel Mexicola, Jl. Kayu Jati, Seminyak, Bali"
"                    4.0
                ",El Kabron ,Uluwatu,Fine Dining,"                        Rp700.000 
                                    
        ","  Spanyol, Eropa"," Jl. Pantai Cemongkak, Uluwatu, Bali"
"                    3.8
                ",Sisterfields ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Barat," Jl. Kayu Cendana, Seminyak, Bali"
"                    3.6
                ",La Favela ,Seminyak,Casual Dining,"                        Rp300.000 
                                    
        ","  Itali, Asia, Eropa, Barat"," Jl. Kayu Aya, Seminyak, Bali"
"                    4.1
                ",Ultimo ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Itali," Jl. Kayu Aya/Oberoi 100, Seminyak, Bali"
"                    3.5
                ",Rayjin Teppanyaki Dining Bar ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ",  Jepang," Jl. Petitenget No. 98, Seminyak, Bali"
"                    3.4
                ",Rosso Vivo - Kuta Seaview Hotel ,Kuta,Casual Dining,"                        Rp300.000 
                                    
        ",  Itali," Kuta Seaview Hotel, Jl. Pantai Kuta, Kuta, Bali"
"                    3.7
                ",Ayam Betutu Khas Gilimanuk Bali ,"Sentral Parkir Kuta, Kuta",Quick Bites,"                        Rp150.000 
                                    
        ",  Bali," Sentral Parkir Kuta, Jl. Raya Imam Bonjol, Kuta, Bali"
"                    3.6
                ",Warung Babi Guling Sari Dewi Bp. Dobiel ,Nusa Dua,Casual Dining,"                        Rp80.000 
                                    
        ",  Bali," Jl. Srikandi No. 9, Nusa Dua, Bali"
"                    3.9
                ",Breeze - The Samaya ,Seminyak,Casual Dining,"                        Rp300.000 
                                    
        ",  Barat," The Samaya, Jl. Kayu Aya, Seminyak, Bali"
"                    3.4
                ",The Harvest ,Kuta,Bakery,"                        Rp200.000 
                                    
        ","  Kafe, Toko Kue, Desserts, Barat"," Jl. Sunset Road, Kuta, Bali"
"                    3.5
                ",Di Mare - Karma Kandara Resort ,"Karma Kandara Resort, Uluwatu",Fine Dining,"                        Rp600.000 
                                    
        ",  Mediterania," Karma Kandara Resort, Jl. Villa Kandara Banjar Wijaya..."
"                    3.4
                ",Ulam ,Nusa Dua,Casual Dining,"                        Rp200.000 
                                    
        ",  Bali," Jl. Pantai Mengiat No. 14, Nusa Dua, Bali"
"                    3.5
                ",Kaki Lima ,Canggu,Casual Dining,"                        Rp200.000 
                                    
        ","  Hidangan Laut, Asia, Eropa, Barat"," Jl. Pantai Batu Bolong, Canggu, Bali"
"                    3.3
                ",Nasi Pecel Bu Tinuk ,Tuban,Casual Dining,"                        Rp120.000 
                                    
        ","  Jawa, Bali"," Jl. Raya Tuban, Tuban, Bali"
"                    3.5
                ",VIN+ ,Seminyak,Casual Dining,"                        Rp300.000 
                                    
        ","  Barat, Asia"," Jl. Kayu Jati No. 1, Seminyak, Bali 80361"
"                    3.5
                ",Mama's German Restaurant ,Legian,Bar,"                        Rp300.000 
                                    
        ","  Jerman, Eropa, Indonesia"," La' Walon Center, Jl. Legian, Legian, Bali"
"                    4.1
                ",UNIQUE Rooftop Bar - Ayana Resort and Spa ,"Ayana Resort and Spa, Jimbaran",,"                        Rp700.000 
                                    
        ","Masakan: Amerika, Itali, Eropa, Barat"," Ayana Resort and Spa, RIMBA Jimbaran, Jl. Karang Mas..."
"                    3.6
                ",Parlour ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.5
                ","Man Fridays, The Fish & Chips Shop ",Sanur,Casual Dining,"                        Rp120.000 
                                    
        ","  Inggris, Cemilan"," Jl. Danau Poso No. 8, Sanur, Bali"
"                    4.1
                ",Batur Sari ,Kintamani,Casual Dining,"                        Rp350.000 
                                    
        ","  Bali, Jawa"," Jl. Raya Penelokan, Kintamani, Bali"
"                    3.4
                ",Grocer & Grind ,Sanur,Fine Dining,"                        Rp350.000 
                                    
        ",  Grill House," Jl. Danau Tamblingan No. 152, Sanur, Bali"
"                    3.5
                ",GaRaSi ,Uluwatu,Casual Dining,"                        Rp200.000 
                                    
        ","  Grill House, Steakhouse, Hidangan Laut, Indonesia..."," Jl. Uluwatu No. 82, Uluwatu, Bali"
"                    -
                ",Jebak (Jejak Bali Kuliner) ,Denpasar,Quick Bites,"                        Rp150.000 
                                    
        ",  Bali," Jl. Teuku Umar, Denpasar, Bali"
"                    3.3
                ",Pundi - Pundi ,Ubud,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Thai, Cina, Asia, Barat"," Jl. Raya Pengosekan, Ubud, Bali"
"                    3.9
                ",Hu'u Bali ,Seminyak,Casual Dining,"                        Rp300.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.9
                ",Bubba Gump ,Tuban,Quick Bites,"                        Rp250.000 
                                    
        ",  Hidangan Laut," Jl. Kartika Plaza, Tuban, Bali"
"                    3.8
                ",Vue Beach Club - Lv8 Resort Hotel ,"Lv8 Resort Hotel, Canggu",,"                        Rp500.000 
                                    
        ","Masakan: Eropa, Asia"," Lv8 Resort Hotel, Jl. Discovery, Canggu, Bali"
"                    3.9
                ",WooBar - W Retreat & Spa ,"W Retreat & Spa, Seminyak",,"                        Rp300.000 
                                    
        ",Masakan: Cemilan," W Retreat & Spa, Jl. Petitenget, Seminyak, Bali"
"                    3.9
                ",Livingstone ,Seminyak,Bakery,"                        Rp120.000 
                                    
        ","  Kafe, Toko Kue"," Jl. Petitenget, Seminyak, Bali"
"                    4.0
                ",La Lucciola ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ",  Itali," Pantai Petitenget, Jl. Petitenget, Seminyak, Bali"
"                    3.6
                ",Made's Warung ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Jepang, Itali, Barat"," Jl. Raya Seminyak, Seminyak, Bali"
"                    3.7
                ",Flapjaks ,Kuta,Quick Bites,"                        Rp120.000 
                                    
        ","  Kafe, Desserts"," Jl. Pantai Kuta, Kuta, Bali"
"                    3.9
                ",Revolver Espresso ,Seminyak,Kafe,"                        Rp150.000 
                                    
        ",  Kafe," Jl. Kayu Aya/Gang 51, Seminyak, Bali"
"                    4.0
                ",Sea Circus ,Seminyak,Quick Bites,"                        Rp200.000 
                                    
        ","  Kafe, Barat"," Jl. Kayu Aya, Seminyak, Bali"
"                    3.7
                ",Bebek Bengil ,"The Bay, Nusa Dua",Casual Dining,"                        Rp400.000 
                                    
        ",  Bali," The Bay, BTDC Area, Nusa Dua, Bali"
"                    3.5
                ",Arena Pub & Restaurant ,Sanur,Casual Dining,"                        Rp200.000 
                                    
        ",  Cemilan," Jl. By Pass Ngurah Rai, Sanur, Bali"
"                    3.5
                ",Warung Laota ,Tuban,Casual Dining,"                        Rp300.000 
                                    
        ","  Asia, Hidangan Laut"," Jl. Raya Kuta No. 530, Tuban, Bali"
"                    3.6
                ",Jemme Dining ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.6
                ",Cocoon Beach Club ,Seminyak,Casual Dining,"                        Rp450.000 
                                    
        ",  Barat," Jl. Double Six, Seminyak, Bali"
"                    -
                ",Warung Dedari ,Bedugul,Casual Dining,"                        Rp250.000 
                                    
        ","  Bali, Indonesia, Barat"," Jl. Raya Denpasar, Bedugul, Bali"
"                    3.8
                ",Nebula Room ,Kuta,Bar,"                        Rp250.000 
                                    
        ","  Itali, Amerika, Korea, Asia"," Jl. Popies 2, Kuta, Bali"
"                    3.5
                ",Watercress ,Kerobokan,Kafe,"                        Rp180.000 
                                    
        ",  Kafe," Jl. Batu Belig, Kerobokan, Bali"
"                    3.7
                ",Sardine ,Seminyak,Casual Dining,"                        Rp350.000 
                                    
        ","  Hidangan Laut, Bali"," Jl. Petitenget, Seminyak, Bali"
"                    -
                ",Cafe Marzano Pizzeria ,Legian,Casual Dining,"                        Rp200.000 
                                    
        ",  Itali," Jl. Arjuna, Legian, Bali"
"                    3.6
                ",Urchin Grill & Raw Bar ,Seminyak,Casual Dining,"                        Rp350.000 
                                    
        ","  Grill House, Steakhouse"," Jl. Kayu Aya, Seminyak, Bali"
"                    4.1
                ",Sari Organik ,Ubud,Quick Bites,"                        Rp200.000 
                                    
        ","  Makanan Sehat, Indonesia"," Jl. Subak Sok Wayah, Ubud, Bali"
"                    3.5
                ",Bridges ,Ubud,Casual Dining,"                        Rp200.000 
                                    
        ","  Asia, Eropa"," Jl. Campuhan, Ubud, Bali"
"                    3.5
                ",Chandi ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ","  Indonesia, Asia"," Jl. Kayu Aya, Seminyak, Bali"
"                    -
                ",BreadLife ,Denpasar,Bakery,"                        Rp50.000 
                                    
        ",  Toko Kue," Jl. Cok Agung Tresna, Denpasar, Bali"
"                    4.1
                ",Kafe ,Ubud,Quick Bites,"                        Rp300.000 
                                    
        ","  Kafe, Makanan Sehat, Indonesia, Meksiko"," Jl. Hanoman, Ubud, Bali"
"                    3.8
                ",Naughty Nuri's ,Kerobokan,Quick Bites,"                        Rp150.000 
                                    
        ","  Bali, Indonesia"," Jl. Batu Belig 41, Kerobokan, Bali"
"                    3.8
                ",Finn's Beach Club - Semara Luxury Villa... ,Uluwatu,Fine Dining,"                        Rp1.000.000 
                                    
        ","  Barat, Asia"," Semara Luxury Villa Resort, Jl. Pantai Selatan Gau..."
"                    3.7
                ",Warung Italia ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ",  Itali," Jl. Kunti 1, Seminyak, Bali"
"                    3.9
                ",Biku ,Seminyak,Casual Dining,"                        Rp300.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.8
                ",Mama San ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ","  Asia, Eropa"," Jl. Petitenget, Seminyak, Bali"
"                    3.5
                ",Nasi Pedas Bu Andika ,Tuban,,"                        Rp120.000 
                                    
        ",Masakan: Bali," Jl. Raya Tuban No. 120C, Tuban, Bali"
"                    3.6
                ",Menega Cafe ,Jimbaran,Casual Dining,"                        Rp300.000 
                                    
        ",  Hidangan Laut," Pantai Muaya, Jl. Four Seasons Resort, Jimbaran, Bali"
"                    3.5
                ",Gardin ,Seminyak,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Petitenget, Seminyak, Bali"
"                    4.0
                ",Sky Garden ,"61 Legian, Legian",Casual Dining,"                        Rp300.000 
                                    
        ",  Hanya Minuman," 61 Legian, Jl. Legian, Legian, Bali"
"                    3.7
                ",Cuca ,Uluwatu,Casual Dining,"                        Rp400.000 
                                    
        ","  Spanyol, Minuman, Desserts"," Jl. Yoga Perkanthi, Uluwatu, Bali"
"                    3.5
                ",Merah Putih ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ",  Indonesia," Jl. Petitenget No. 100 X, Seminyak, Bali"
"                    3.5
                ",Earth Cafe ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ","  Kafe, Makanan Sehat"," Jl. Kayu Aya, Seminyak, Bali"
"                    3.5
                ",Karma Beach Bali - Karma Kandara Resort ,"Karma Kandara Resort, Uluwatu",,"                        Rp700.000 
                                    
        ","Masakan: Barat, Eropa"," Karma Kandara Resort, Jl. Villa Kandara Banjar Wijaya..."
"                    4.3
                ",The Pirates Bay ,"The Bay, Nusa Dua",Casual Dining,"                        Rp450.000 
                                    
        ","  Barat, Bali, Indonesia"," The Bay, BTDC Area, Nusa Dua, Bali"
"                    3.4
                ",Warung Mak Beng ,Sanur,Quick Bites,"                        Rp200.000 
                                    
        ",  Hidangan Laut," Jl. Hang Tuah No. 45, Sanur, Bali"
"                    3.3
                ",Bale Udang Mang Engking ,Legian,Casual Dining,"                        Rp300.000 
                                    
        ","  Hidangan Laut, Bali"," Jl. Nakula No. 88, Legian, Bali"
"                    -
                ",SOHO ,Seminyak,Quick Bites,"                        Rp200.000 
                                    
        ",  Amerika," Jl. Kayu Aya, Seminyak, Bali"
"                    3.9
                ",Babi Guling Handayani ,Denpasar,Casual Dining,"                        Rp70.000 
                                    
        ",  Bali," Jl. By Pass Ngurah Rai, Denpasar, Bali"
"                    3.5
                ",Lusi Warung ,Legian,Casual Dining,"                        Rp170.000 
                                    
        ","  Steakhouse, Eropa, Barat"," Jl. Bunut Sari, Legian, Bali"
"                    3.4
                ",Dahana Restaurant ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Asia," Jl. Petitenget, Seminyak, Bali"
"                    -
                ",Bon Chon ,Denpasar,Quick Bites,"                        Rp150.000 
                                    
        ","  Korea, Makanan Cepat Saji"," Jl. Teuku Umar, Denpasar, Bali"
"                    3.9
                ",Metis ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ","  Asia, Barat"," Jl. Petitenget No. 6, Seminyak, Bali"
"                    3.4
                ",Sushi Hana ,Kuta,Casual Dining,"                        Rp400.000 
                                    
        ",  Jepang," Jl. Sunset Road No. 23, Kuta, Bali"
"                    4.3
                ",Betelnut Cafe ,Canggu,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Asia, Barat"," Jl. Batu Bolong No. 60, Canggu, Bali"
"                    -
                ",Ganesha Ek Sanskriti ,Ubud,Casual Dining,"                        Rp350.000 
                                    
        ","  India Utara, India"," Jl. Monkey Forest, Ubud, Bali"
"                    3.4
                ",Old Man's ,Canggu,Casual Dining,"                        Rp180.000 
                                    
        ","  Asia, Eropa, Barat"," Jl. Batu Bolong, Canggu, Bali"
"                    3.5
                ",Warung Eropa ,Seminyak,Quick Bites,"                        Rp200.000 
                                    
        ","  Bali, Barat, Indonesia"," Jl. Petitenget, Seminyak, Bali"
"                    3.4
                ",Warung Subak ,Denpasar,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Hidangan Laut"," Jl. Moh. Yamin, Denpasar, Bali"
"                    3.5
                ",Melting Wok Warung ,Ubud,Quick Bites,"                        Rp120.000 
                                    
        ","  Kafe, Asia"," Jl. Goutama, Ubud, Bali"
"                    3.6
                ",Bebek Tepi Sawah ,Ubud,Casual Dining,"                        Rp400.000 
                                    
        ",  Bali," Jl. Raya Goa Gajah - Br Teges -Peliata, Ubud, Bali"
"                    3.5
                ",Babi Guling Candra ,Denpasar,Quick Bites,"                        Rp150.000 
                                    
        ",  Bali," Jl. Teuku Umar, Denpasar, Bali"
"                    3.6
                ",Warung Babi Guling Pak Malen ,Seminyak,Casual Dining,"                        Rp100.000 
                                    
        ",  Bali," Jl. Sunset Road, Seminyak, Bali"
"                    4.1
                ",Naughty Nuri's ,Ubud,Quick Bites,"                        Rp150.000 
                                    
        ","  Bali, Indonesia"," Jl. Sangginan, Ubud, Bali"
"                    3.4
                ",Sundara - Four Seasons Resort ,"Four Seasons Resort, Jimbaran",Fine Dining,"                        Rp800.000 
                                    
        ","  Bali, Barat"," Four Seasons Resort, Jl. Bukit Permai, Jimbaran, Bali..."
"                    3.4
                ",Monokrom ,Legian,Kafe,"                        Rp100.000 
                                    
        ",  Kafe," Jl. Legian No. 358 A, Legian, Bali"
"                    3.8
                ",Warung Laota ,Kuta,Casual Dining,"                        Rp300.000 
                                    
        ","  Asia, Hidangan Laut"," Jl. Sunset Road No. 88, Kuta, Bali"
"                    3.7
                ",Massimo ,Sanur,Casual Dining,"                        Rp400.000 
                                    
        ",  Itali," Jl. Danau Tamblingan No. 228, Sanur, Bali"
"                    3.9
                ",Eat Well ,Seminyak,Quick Bites,"                        Rp180.000 
                                    
        ",  Amerika," Jl. Basangkasa No. 36, Seminyak, Bali"
"                    3.4
                ",Grocer & Grind ,Seminyak,Casual Dining,"                        Rp350.000 
                                    
        ",  Grill House," Jl. Kayu Jati, Seminyak, Bali"
"                    3.4
                ",Kakiang Bakery & Cafe ,Ubud,Bakery,"                        Rp120.000 
                                    
        ","  Kafe, Toko Kue, Desserts"," Jl. Raya Pengosekan, Ubud, Bali"
"                    3.6
                ",Bungalow Living Cafe ,Canggu,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Asia, Barat"," Jl. Pantai Berawa No. 35, Canggu, Bali"
"                    4.1
                ",Gaya Gelato ,Canggu,Dessert Parlor,"                        Rp90.000 
                                    
        ","  Ice Cream, Desserts"," Jl. Pura Batu Mejan, Canggu, Bali"
"                    3.5
                ",Cafe Lotus ,Ubud,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Raya Ubud, Ubud, Bali"
"                    3.4
                ",Petani ,Ubud,Casual Dining,"                        Rp240.000 
                                    
        ",  Indonesia," Jl. Hanoman, Ubud, Bali"
"                    -
                ",JJ Kitchen & Bar ,"Ruko Sunset Permai, Seminyak",Casual Dining,"                        Rp150.000 
                                    
        ",  Barat," Ruko Sunset Permai, Jl. Sunset Road, Seminyak, Bali"
"                    3.5
                ",Kitchenette ,"Beachwalk, Kuta",Casual Dining,"                        Rp300.000 
                                    
        ","  Itali, Jepang, Amerika"," Beachwalk, Lantai 1, Jl. Pantai Kuta, Kuta, Bali"
"                    3.9
                ",Seniman Coffee Studio ,Ubud,Quick Bites,"                        Rp180.000 
                                    
        ",  Kafe," Jl. Sriwedari, Ubud, Bali"
"                    3.7
                ",Wahaha ,Seminyak,Casual Dining,"                        Rp250.000 
                                    
        ","  Grill House, Bali"," Jl. Sunset Road Barat, No. 1689, Seminyak, Bali"
"                    3.7
                ",Lello Lello ,Seminyak,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Ice Cream, Desserts"," Jl. Kayu Aya, Seminyak, Bali"
"                    3.7
                ",Babi Guling Ibu Oka ,Ubud,Quick Bites,"                        Rp120.000 
                                    
        ",  Bali," Jl. Suweta, Ubud, Bali"
"                    3.8
                ",Hard Rock Cafe - Hard Rock Hotel ,"Hard Rock Hotel, Kuta",Lounge,"                        Rp600.000 
                                    
        ","  Amerika, Itali, Perancis, Indonesia, Barat"," Hard Rock Hotel, Jl. Pantai Kuta, Kuta, Bali"
"                    3.9
                ",That Fat Turtle ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.6
                ",Single Fin - Blue Point Bay Villas ,"Blue Point Bay Villas, Uluwatu",Casual Dining,"                        Rp400.000 
                                    
        ","  Barat, Asia"," Blue Point Bay Villas, Jl. Labuan Sait, Uluwatu, Bali"
"                    3.5
                ",Take ,Legian,Casual Dining,"                        Rp200.000 
                                    
        ",  Jepang," Jl. Patih Jelantik, Legian, Bali"
"                    3.7
                ",Made's Warung ,Kuta,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Jepang, Itali, Barat"," Jl. Pantai Kuta, Kuta, Bali"
"                    3.5
                ",Sushi Tei ,"Beachwalk, Kuta",Casual Dining,"                        Rp250.000 
                                    
        ","  Jepang, Sushi, Ramen"," Beachwalk, Lantai 2, Jl. Pantai Kuta, Kuta, Bali"
"                    3.5
                ",Komune Beach Club ,Gianyar,,"                        Rp500.000 
                                    
        ","Masakan: Barat, Asia"," Jl. Pantai Keramas, Gianyar, Bali"
"                    3.7
                ",Petitenget ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ",  Barat," Jl. Petitenget, Seminyak, Bali"
"                    3.9
                ",The Bistrot ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ",  Barat," Jl. Kayu Aya, Seminyak, Bali"
"                    3.7
                ",Black House Burger & Co. ,Tuban,Kafe,"                        Rp120.000 
                                    
        ","  Kafe, Makanan Cepat Saji, Amerika"," Jl. Raya Tuban Pertokoan KIP, Blok B No.16B, Tuban, Bali"
"                    3.8
                ",Bebek Bengil ,Ubud,Casual Dining,"                        Rp400.000 
                                    
        ",  Bali," Jl. Hanoman, Ubud, Bali"
"                    3.4
                ",Mozaic Beachclub ,Kerobokan,,"                        Rp500.000 
                                    
        ","Masakan: Barat, Asia"," Jl. Pantai Batu Belig, Kerobokan, Bali"
"                    -
                ",Warung Pizza Pepe ,Legian,Quick Bites,"                        Rp150.000 
                                    
        ",  Pizza," Jl. Dewi Sri, Legian, Bali"
"                    3.6
                ","The Cafe - The Mulia, Mulia Resort & Villas ","The Mulia, Mulia Resort & Villas, Nusa Dua",Quick Bites,"                        Rp300.000 
                                    
        ","  Hidangan Laut, Perancis"," The Mulia, Mulia Resort & Villas, Jl. Raya Nusa Dua..."
"                    3.7
                ",Zibiru ,Seminyak,Casual Dining,"                        Rp400.000 
                                    
        ",  Itali," Jl. Drupadi 7, Seminyak, Bali"
"                    3.7
                ",Wings & Co ,Legian,Casual Dining,"                        Rp120.000 
                                    
        ",  Barat," Jl. Dewi Sri No. 11, Legian, Bali 80361"
"                    3.5
                ",Five Monkeys ,Legian,Quick Bites,"                        Rp150.000 
                                    
        ",  Amerika," Jl. Legian No. 350, Legian, Bali"
"                    -
                ",Laka Leke Hideaway Restaurant ,Ubud,,"                        Rp200.000 
                                    
        ",Masakan: Bali," Jl. Nyuh Kuning, Ubud, Bali"
"                    3.3
                ",PizzaExpress ,Kuta,Casual Dining,"                        Rp250.000 
                                    
        ","  Pizza, Itali"," Jl. Pantai Kuta, Kuta, Bali"
"                    3.7
                ",Starfish Bloo - W Retreat & Spa ,"W Retreat & Spa, Seminyak",,"                        Rp500.000 
                                    
        ",Masakan: Asia," W Retreat & Spa, Jl. Petitenget, Seminyak, Bali"
"                    -
                ",D' Lande Coffee ,Legian,Kafe,"                        Rp150.000 
                                    
        ",  Kafe," Jl. Dewi Sri, Legian, Bali"
"                    3.5
                ",Tahari Sushi ,Canggu,Casual Dining,"                        Rp300.000 
                                    
        ",  Jepang," Jl. Raya Semer, Canggu, Bali"
